symbol,series,date1,prev_close,open,high,low,last_price,close,average_pr,tottrades,turnover,numtrades,delivery,volume,action,avgaction,avgdel,date,lottery
"INFY"," EQ"," 30-Apr-2021"," 1356.35"," 1346.30"," 1373.90"," 1345.90"," 1348.60"," 1354.35"," 1361.16"," 8354677"," 113720.28"," 131718"," 5408113"," 64.73",63,41,51.03,04/30/2021,T
"INFY"," EQ"," 29-Apr-2021"," 1356.00"," 1368.00"," 1369.00"," 1351.40"," 1356.00"," 1356.35"," 1360.05"," 5412357"," 73610.90"," 119277"," 3130945"," 57.85",45,40,51.07,04/29/2021,T
"INFY"," EQ"," 28-Apr-2021"," 1348.50"," 1358.00"," 1359.50"," 1344.60"," 1355.80"," 1356.00"," 1353.45"," 4879234"," 66037.78"," 137376"," 2857134"," 58.56",36,40,50.94,04/28/2021,F
"INFY"," EQ"," 27-Apr-2021"," 1343.55"," 1346.00"," 1353.00"," 1340.15"," 1347.50"," 1348.50"," 1346.89"," 3636115"," 48974.45"," 145974"," 1871084"," 51.46",25,40,50.92,04/27/2021,F
"INFY"," EQ"," 26-Apr-2021"," 1333.80"," 1332.25"," 1351.30"," 1321.00"," 1345.00"," 1343.55"," 1343.19"," 7088606"," 95213.61"," 130375"," 4218129"," 59.51",54,40,50.92,04/26/2021,T
"INFY"," EQ"," 23-Apr-2021"," 1351.10"," 1343.00"," 1348.40"," 1331.00"," 1333.90"," 1333.80"," 1339.49"," 7316262"," 98000.85"," 163801"," 4123289"," 56.36",45,40,50.90,04/23/2021,T
"INFY"," EQ"," 22-Apr-2021"," 1351.35"," 1355.55"," 1364.80"," 1345.15"," 1352.00"," 1351.10"," 1352.38"," 6622446"," 89560.80"," 203956"," 3342474"," 50.47",32,40,50.98,04/22/2021,F
"INFY"," EQ"," 20-Apr-2021"," 1362.55"," 1379.00"," 1379.00"," 1342.40"," 1349.00"," 1351.35"," 1357.18"," 8560766"," 116184.60"," 174560"," 4377456"," 51.13",49,40,50.76,04/20/2021,T
"INFY"," EQ"," 19-Apr-2021"," 1353.75"," 1340.00"," 1379.70"," 1332.35"," 1363.00"," 1362.55"," 1359.57"," 12508028"," 170055.47"," 260647"," 5617272"," 44.91",48,40,50.68,04/19/2021,F
"INFY"," EQ"," 16-Apr-2021"," 1360.75"," 1365.00"," 1370.85"," 1346.60"," 1348.10"," 1353.75"," 1358.97"," 10879878"," 147853.93"," 285474"," 5019567"," 46.14",38,40,50.67,04/16/2021,F
"INFY"," EQ"," 15-Apr-2021"," 1397.15"," 1332.30"," 1366.40"," 1320.00"," 1363.30"," 1360.75"," 1347.38"," 25342491"," 341459.36"," 678751"," 10516044"," 41.50",37,40,50.80,04/15/2021,F
"INFY"," EQ"," 13-Apr-2021"," 1425.75"," 1433.00"," 1435.25"," 1375.00"," 1402.85"," 1397.15"," 1394.92"," 14855206"," 207218.14"," 453578"," 6428451"," 43.27",33,40,50.64,04/13/2021,F
